country code,heb_name,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,country
CHE,שוויץ,,5349.0,5538.0,4997.0,4191.0,5030.0,4996.0,5326.0,7277.0,6608.0,5456.0,5857.0,6316.0,6026.0,5511.0,6145.0,5995.0,5248.0,6391.0,7032.0,6709.0,6836.0,6053.0,6111.0,7406.0,8376.0,7943.0,7183.0,7568.0,7694.0,7996.0,8345.0,8003.0,8257.0,9374.0,10395.0,10787.0,10641.0,10984.0,10633.0,11269.0,10634.0,11237.0,11347.0,11084.0,11535.0,12141.0,12448.0,12835.0,13085.0,13763.0,13149.0,13513.0,13250.0,14156.0,14703.0,15379.0,15299.0,15335.0,15550.0,16063.0,16161.0,16826.0,16548.0,15489.0,15453.0,16468.0,15913.0,14505.0,14409.0,15324.0,12932.0,15134.0,15658.0,16860.0,17174.0,17492.0,18576.0,19490.0,20148.0,19812.0,19685.0,18343.0,18799.0,18866.0,17960.0,17672.0,19506.0,18587.0,18880.0,18989.0,18774.0,17892.0,17831.0,18021.0,17440.0,20991.0,21423.0,21268.0,20430.0,21147.0,22594.0,22468.0,22959.0,24001.0,25354.0,26689.0,27310.0,26357.0,27694.0,29063.0,30561.0,31155.0,31988.0,33109.0,33839.0,34360.0,35021.0,35869.0,37402.0,39438.0,40552.0,41470.0,42471.0,42963.0,40186.0,40060.0,41145.0,41208.0,42113.0,43814.0,44227.0,43303.0,43302.0,44417.0,45697.0,46164.0,46176.0,47228.0,48844.0,50132.0,49056.0,48497.0,47997,48220,48129,48205,49201,50500,51085,52804,53230,52904,52539,53663,54940,56787,58612,59190,57210,58267,58686,58674,59036,59485,59307,59662.0,Switzerland
NOR,נורווגיה,3068.0,3143.0,3189.0,3356.0,3514.0,3585.0,3515.0,3332.0,3526.0,3434.0,3569.0,3553.0,3794.0,3703.0,3755.0,3928.0,3735.0,3764.0,3734.0,3929.0,4117.0,4303.0,4425.0,4577.0,4440.0,4555.0,4684.0,4632.0,4416.0,4592.0,4729.0,4611.0,4779.0,4881.0,4761.0,4723.0,4778.0,4858.0,5089.0,5245.0,5233.0,5221.0,5194.0,5330.0,5548.0,5770.0,5862.0,6083.0,6174.0,6132.0,6141.0,6184.0,6176.0,6218.0,6217.0,6280.0,6607.0,6687.0,6827.0,6885.0,7231.0,7460.0,7656.0,8345.0,8196.0,8333.0,9080.0,8103.0,7604.0,8704.0,8958.0,7981.0,8639.0,9205.0,9048.0,8945.0,8978.0,9437.0,9907.0,10548.0,10929.0,10014.0,10445.0,10647.0,10962.0,11449.0,12158.0,12634.0,12842.0,13380.0,12167.0,12391.0,11835.0,11511.0,10810.0,11992.0,13063.0,14656.0,15499.0,15750.0,16360.0,17085.0,17518.0,18034.0,18758.0,18987.0,19812.0,20222.0,20044.0,20713.0,21705.0,22883.0,23340.0,24050.0,25057.0,26183.0,26953.0,28392.0,28779.0,29828.0,30213.0,31554.0,32909.0,34122.0,35332.0,36975.0,38959.0,40451.0,41702.0,43422.0,45426.0,45707.0,45634.0,47112.0,49754.0,52186.0,53880.0,54731.0,54414.0,54708.0,55640.0,57084.0,58784.0,60097,62777,65046,67972,71177,72611,73567,75434,76619,77302,77557,80152,81698,82984,84535,83809,81416,80892,80623,81759,81583,82216,82713,82814.0,Norway
USA,"ארה""ב",2825.0,2940.0,3089.0,3300.0,3310.0,3237.0,3305.0,3233.0,3248.0,3336.0,3425.0,3354.0,3459.0,3683.0,3804.0,3607.0,3579.0,3697.0,3745.0,3845.0,3736.0,3825.0,3883.0,3980.0,3862.0,3971.0,3928.0,3966.0,4044.0,4446.0,4866.0,4914.0,5101.0,5102.0,5074.0,4997.0,5034.0,5147.0,5015.0,5216.0,5184.0,5299.0,5697.0,5316.0,5064.0,5569.0,5356.0,5761.0,5776.0,6191.0,6252.0,6822.0,6756.0,6955.0,6739.0,7094.0,7762.0,7740.0,6970.0,7668.0,7586.0,7711.0,7948.0,8101.0,7334.0,7434.0,8342.0,8020.0,8648.0,8681.0,8485.0,8134.0,8466.0,9420.0,9525.0,9601.0,10090.0,10050.0,10040.0,10543.0,9490.0,8864.0,7525.0,7270.0,7876.0,8850.0,9718.0,10450.0,9797.0,10459.0,11307.0,12844.0,14175.0,15392.0,16401.0,15992.0,14471.0,14057.0,14559.0,14112.0,15241.0,16126.0,16443.0,16917.0,16513.0,17370.0,17398.0,17407.0,16945.0,17901.0,18058.0,18175.0,18977.0,19515.0,20360.0,21390.0,22529.0,22842.0,23692.0,24196.0,23958.0,24395.0,25415.0,26603.0,26287.0,25956.0,27059.0,28001.0,29287.0,29951.0,29613.0,30056.0,29211.0,30159.0,32076.0,33024.0,33851.0,34730.0,35865.0,36757.0,36982.0,36464.0,37241.0,37762,38808,39391,40414,41723,43073,44576,45887,45878,46267,47158,48493,49655,50490,50902,50276,48453,49267,49675,50394,50863,51664,52591,53015.0,United States
NZL,ניו זילנד,1885.0,,,,,,,,,,3643.0,,,,,,,,,,5104.0,5195.0,5801.0,6308.0,6329.0,6073.0,5966.0,6558.0,7033.0,5877.0,6169.0,6199.0,6003.0,5755.0,6097.0,5907.0,5931.0,5935.0,5853.0,6095.0,6184.0,6144.0,6258.0,6238.0,5894.0,5997.0,6567.0,6504.0,6562.0,6654.0,7078.0,6955.0,7309.0,7785.0,7526.0,7986.0,8493.0,8793.0,7962.0,7855.0,8754.0,9047.0,8578.0,8484.0,8545.0,8520.0,8432.0,8247.0,8087.0,8699.0,9289.0,8444.0,7972.0,8471.0,8469.0,8714.0,8077.0,7711.0,8465.0,8665.0,8168.0,7369.0,7126.0,7535.0,7851.0,8167.0,9616.0,10047.0,10641.0,10637.0,10375.0,10092.0,11134.0,11408.0,11309.0,11409.0,11792.0,12920.0,11410.0,12384.0,13924.0,12603.0,12838.0,12936.0,14398.0,14368.0,14820.0,14894.0,15126.0,15858.0,15586.0,16047.0,16023.0,16684.0,17156.0,17914.0,18710.0,17590.0,17365.0,18955.0,18425.0,19062.0,19514.0,20459.0,21208.0,20565.0,20828.0,19742.0,19816.0,20228.0,20331.0,21216.0,21401.0,21711.0,22504.0,22501.0,22855.0,22875.0,22750.0,22838.0,22539.0,21791.0,21723.0,22517,23693,24348,24893,25346,25367,26353,27284,27591,28460,29236,30132,30553,31038,31982,31591,31330,31635,32057,32674,32989,33339,33696,34295.0,New Zealand
AUS,אוסטרליה,3589.0,4259.0,4995.0,5469.0,4789.0,4545.0,5546.0,4894.0,4174.0,5388.0,5259.0,5179.0,4977.0,4961.0,5261.0,5018.0,5166.0,5648.0,5735.0,5621.0,5947.0,5993.0,6456.0,6947.0,6967.0,7518.0,7281.0,7333.0,7771.0,7640.0,7786.0,8094.0,7381.0,8131.0,7819.0,8035.0,7866.0,8415.0,8183.0,8624.0,8099.0,8478.0,7259.0,6737.0,6841.0,6336.0,6695.0,6214.0,7070.0,6976.0,7292.0,6974.0,6945.0,7406.0,7803.0,7780.0,8189.0,8387.0,8527.0,9049.0,9465.0,9273.0,9263.0,9369.0,9133.0,8896.0,8863.0,8705.0,8360.0,8567.0,8658.0,8922.0,9200.0,9433.0,9843.0,10089.0,10124.0,10072.0,9905.0,9562.0,8554.0,7910.0,8292.0,8798.0,9193.0,9661.0,10021.0,10439.0,10695.0,10621.0,11203.0,12333.0,13636.0,13995.0,13376.0,12567.0,11982.0,12108.0,12659.0,13148.0,13466.0,13640.0,13477.0,13636.0,14154.0,14585.0,14732.0,14699.0,15090.0,15677.0,15972.0,15721.0,16400.0,17078.0,17894.0,18444.0,18607.0,19500.0,20255.0,21005.0,21845.0,22328.0,22537.0,23398.0,23592.0,23928.0,24634.0,24612.0,25016.0,26016.0,26184.0,26636.0,26184.0,25870.0,27366.0,28413.0,28628.0,29602.0,30436.0,31240.0,31200.0,30426.0,31024.0,32020,33180,33908,34850,35853,37235,38311,39200,39673,40792,41544,42711,43501,44001,45145,45260,45247,45684,46132,46999,47250,47867,48357,48845.0,Australia
DNK,דנמרק,3175.0,2986.0,3059.0,3040.0,3021.0,3311.0,3083.0,3093.0,3033.0,3195.0,3129.0,3139.0,3196.0,3359.0,3293.0,3369.0,3341.0,3306.0,3330.0,3486.0,3599.0,3581.0,3750.0,3695.0,3767.0,3794.0,3828.0,3677.0,3777.0,3861.0,3920.0,3922.0,4026.0,4131.0,4106.0,4086.0,4198.0,4302.0,4292.0,4312.0,4534.0,4591.0,4668.0,4723.0,4775.0,4978.0,5095.0,5144.0,5156.0,5304.0,5420.0,5578.0,5644.0,5912.0,5975.0,6012.0,6112.0,6264.0,6382.0,6545.0,6657.0,6930.0,6850.0,7029.0,7386.0,6788.0,6992.0,6498.0,6214.0,6935.0,7173.0,6875.0,7486.0,8191.0,8136.0,7867.0,8261.0,8369.0,8599.0,9119.0,9596.0,9630.0,9288.0,9506.0,9706.0,9846.0,10017.0,10185.0,10354.0,10768.0,9193.0,8218.0,8317.0,9128.0,9960.0,9103.0,10380.0,10843.0,11020.0,11669.0,12475.0,12464.0,12497.0,13102.0,13245.0,13288.0,13366.0,14312.0,14546.0,15519.0,15833.0,16732.0,17514.0,17486.0,18973.0,19681.0,20052.0,20549.0,21268.0,22515.0,22793.0,23239.0,24326.0,25057.0,24708.0,24474.0,25993.0,26333.0,26639.0,27515.0,27361.0,27125.0,27964.0,28688.0,29963.0,31236.0,32330.0,32384.0,32746.0,32812.0,33155.0,33530.0,34074.0,33964,35654,36543,37391,38450,39160,40181,41548,41740,41801,41850,42856,43736,45299,45508,45010,42573,43178,43575,43510,43733,44241,44635,44836.0,Denmark
CAN,קנדה,2249.0,,,,,,,,,,2453.0,,,,,,,,,,2866.0,2968.0,2884.0,3115.0,3135.0,3017.0,2775.0,2922.0,2769.0,2986.0,3071.0,3450.0,3567.0,3536.0,3773.0,3506.0,3510.0,3586.0,3804.0,3787.0,4023.0,4074.0,4010.0,3947.0,4094.0,4010.0,3871.0,4248.0,4370.0,4728.0,4924.0,5238.0,5634.0,5638.0,5547.0,6024.0,6505.0,6554.0,6042.0,6511.0,6877.0,7125.0,7403.0,7521.0,6808.0,7159.0,7858.0,8120.0,7511.0,6798.0,6531.0,5678.0,6416.0,6725.0,6727.0,7341.0,7606.0,8198.0,8747.0,8568.0,8137.0,6772.0,6210.0,5701.0,6243.0,6682.0,6976.0,7566.0,7689.0,8065.0,9080.0,10234.0,11896.0,12284.0,12588.0,12065.0,11723.0,11989.0,11950.0,11948.0,12333.0,12742.0,13249.0,13504.0,13023.0,13872.0,14634.0,14557.0,14434.0,14675.0,14804.0,14940.0,15691.0,16180.0,16913.0,17714.0,18514.0,18738.0,19416.0,20148.0,20382.0,21247.0,22111.0,23405.0,24026.0,24214.0,25206.0,25747.0,26521.0,27350.0,27359.0,27861.0,26689.0,27191.0,28476.0,29738.0,30212.0,31034.0,32125.0,32320.0,31921.0,30846.0,30748.0,31204,32258,32779,32961,34029,35050,36564,38108,38376,39106,39441,40280,41177,41834,42282,42253,40541,41326,42197,42445,42994,43607,43619,43745.0,Canada
LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12333.0,11372.0,12132.0,12219.0,12203.0,12737.0,13221.0,13790.0,13912.0,14179.0,14629.0,15071.0,15089.0,15455.0,16466.0,16595.0,16669.0,16653.0,17306.0,18912.0,19139.0,19465.0,20497.0,21957.0,22587.0,20872.0,21293.0,21585.0,22427.0,22894.0,22999.0,23169.0,23049.0,23725.0,25168.0,25839.0,27700.0,28144.0,30742.0,33591.0,33835.0,36272.0,36444.0,37470,38375,38382,38388,40075,41972,44921,47973,48605,49936,50137,51215,52037,53866,57471,55731,52324,53877,54031,52562,53411,55102,55972,57006.0,Luxembourg
SWE,שוודיה,1818.0,1782.0,1744.0,1767.0,1785.0,1896.0,1876.0,1928.0,1951.0,2021.0,2058.0,1977.0,1916.0,1999.0,2035.0,2070.0,2036.0,2066.0,1881.0,2015.0,2272.0,2351.0,2393.0,2421.0,2512.0,2423.0,2576.0,2518.0,2428.0,2562.0,2501.0,2591.0,2495.0,2684.0,2626.0,2673.0,2699.0,2619.0,2662.0,2701.0,2763.0,2913.0,2875.0,2946.0,2958.0,3102.0,3183.0,3308.0,3421.0,3505.0,3519.0,3610.0,3563.0,3750.0,3814.0,3760.0,4060.0,4331.0,4197.0,4219.0,4296.0,4403.0,4570.0,4856.0,4959.0,5131.0,5415.0,5086.0,4700.0,4772.0,5075.0,4814.0,5159.0,5324.0,5687.0,5817.0,6100.0,6298.0,6478.0,6864.0,7159.0,6976.0,6703.0,6814.0,7255.0,7588.0,7840.0,8033.0,8280.0,8871.0,8202.0,7960.0,8009.0,8245.0,8466.0,8692.0,9538.0,10291.0,10410.0,10733.0,11385.0,11740.0,11819.0,12070.0,12505.0,12781.0,13173.0,13672.0,13655.0,14002.0,14677.0,15436.0,15997.0,16754.0,17765.0,18272.0,18475.0,18954.0,19532.0,20366.0,21483.0,21538.0,21966.0,22796.0,23457.0,23962.0,24128.0,23658.0,24002.0,24870.0,25234.0,25200.0,25439.0,25873.0,26876.0,27349.0,27884.0,28634.0,29113.0,29606.0,29749.0,29187.0,28668.0,27917,28832,29811,30243,31043,32330,33810,35261,35640,36467,37252,38760,39917,41564,42872,42542,40339,42753,42079,41650,41811,42476,43746,44659.0,Sweden
GBR,בריטניה,4248.0,4390.0,4535.0,4642.0,4814.0,4656.0,4915.0,4921.0,4784.0,4933.0,4988.0,4926.0,4672.0,5064.0,5153.0,5229.0,5345.0,5319.0,5526.0,5525.0,5716.0,5684.0,5657.0,5729.0,5760.0,5834.0,5823.0,5808.0,5764.0,5674.0,5879.0,6027.0,6147.0,6142.0,6099.0,6012.0,6050.0,6235.0,6457.0,6743.0,6711.0,6648.0,6426.0,6360.0,6718.0,6859.0,7070.0,7088.0,7354.0,7578.0,7446.0,7370.0,7486.0,7337.0,7311.0,7456.0,7631.0,7702.0,7316.0,7410.0,7567.0,7721.0,7800.0,8052.0,7973.0,8471.0,8532.0,8496.0,8462.0,7456.0,6881.0,6660.0,7247.0,7439.0,7691.0,8041.0,7715.0,8307.0,8373.0,8601.0,8504.0,8031.0,8047.0,8248.0,8764.0,9064.0,9433.0,9718.0,9794.0,9788.0,10716.0,11694.0,11939.0,12103.0,11574.0,11028.0,10543.0,10322.0,10543.0,10871.0,10846.0,11134.0,11083.0,11481.0,11909.0,12298.0,12392.0,12530.0,12450.0,12878.0,13512.0,13843.0,13856.0,14300.0,14954.0,15241.0,15450.0,15706.0,16270.0,16492.0,16829.0,17101.0,17652.0,18795.0,18535.0,18517.0,18935.0,19355.0,20049.0,20580.0,20211.0,19924.0,20248.0,20951.0,21444.0,22139.0,23041.0,24059.0,25179.0,25654.0,25679.0,25314.0,25336.0,25909,26847,27447,28075,28879,29714,30587,31619,32356,32992,33977,34638,35424,36045,36679,36163,34338,34722,34971,35185,35618,36436,36941,37334.0,United Kingdom
